guid,part_pos,part_name,class,weight,area_gross,area,area_net,a_net_xy,a_net_xz,a_net_yz,area_plan,project_name,assembly_no
5B8C7AB1-0000-2A0B-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455497,4566773,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2A1E-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2A6A-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455497,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2A7D-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566773,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2A31-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2A44-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455498,4566773,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2A57-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566773,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2A90-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455498,4566773,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2AA3-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455498,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2AB6-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566773,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2AC9-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455498,4566773,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2ADC-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2AEF-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455498,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2B02-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566773,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2B3B-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566773,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2B4E-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455497,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2B9A-3135-333539333737,TBP-391,TBP,TB_UL,867.85,22.49,22.43,22.43,4429227,4505793,7377,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2B15-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2B28-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455498,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2B61-3135-333539333737,TBP-391,TBP,TB_UL,867.85,22.49,22.43,22.43,4429227,4505778,7377,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2B74-3135-333539333737,TBP-391,TBP,TB_UL,867.85,22.49,22.43,22.43,4429227,4505793,7377,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2B87-3135-333539333737,TBP-391,TBP,TB_UL,867.85,22.49,22.43,22.43,4429227,4505793,7377,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2BAD-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455498,4566788,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2BC0-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566783,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2BD3-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566775,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2BE6-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455498,4566783,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2BF9-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566783,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2C0C-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455497,4566775,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2C1F-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566783,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2C6B-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455497,4566783,5996,0,shachengwan,C3-JD-24
5B8C7AB1-0000-2C7E-3135-333539333737,TBP-428,TBP,TB_UL,705.32,22.78,22.72,22.72,4455483,4566775,5996,0,shachengwan,C3-JD-24
